TOP,VALUE,Growth
home decor,209.0,inf
furniture,158.0,inf
interior,100.0,inf
furnishing,77.0,inf
home furnishing,76.0,inf
home furniture,62.0,315.0
ikea,55.0,inf
home furnishings store,54.0,170.0
interior design,49.0,inf
furnishings near me,41.0,120.0
home furnishings near me,41.0,130.0
best home furnishings,40.0,100.0
online home furnishings,35.0,90.0
house,34.0,inf
house design,32.0,4550.0
ikea home furnishings,30.0,80.0
darpan,30.0,60.0
darpan furnishings,29.0,50.0
ikea home decor,24.0,inf
white home decor,20.0,inf
decor,18.0,3500.0
interior designer,11.0,2250.0
black home decor,10.0,inf
furniture shop,10.0,4750.0
blue home decor,10.0,inf
decoration,9.0,1750.0
home decor ideas,8.0,inf
furniture near me,8.0,4550.0
home design,8.0,1550.0
home decor items,7.0,inf
home interior,7.0,1550.0
green home decor,7.0,inf
room interior,7.0,850.0
furniture design,7.0,3850.0
interiors,7.0,1400.0
house interior,6.0,650.0
room design,6.0,800.0
interior room design,5.0,600.0
interior designers,5.0,600.0
home interior design,5.0,550.0
pink home decor,5.0,inf
interior home design,5.0,550.0
furniture online,5.0,3750.0
yellow home decor,5.0,inf
sofa,4.0,850.0
table,4.0,1700.0
table furniture,4.0,650.0
wood furniture,4.0,2200.0
wooden furniture,4.0,450.0
purple home decor,4.0,inf
bed,4.0,1600.0
interior designing,4.0,550.0
furniture market,4.0,600.0
bedroom design,4.0,500.0
bedroom interior,4.0,500.0
black and white home decor,4.0,inf
furniture shop near me,4.0,700.0
bed furniture,4.0,600.0
old furniture,3.0,350.0
office furniture,3.0,400.0
bedroom interior design,3.0,350.0
best furniture,3.0,400.0
wall decor,3.0,350.0
kitchen interior,3.0,350.0
farnichar,3.0,350.0
sofa furniture,3.0,450.0
furniture rent,3.0,350.0
house interior design,3.0,450.0
red home decor,3.0,inf
furniture shops,3.0,350.0
grey home decor,3.0,inf
home decor accents,3.0,110.0
फर्नीचर,3.0,400.0
olx furniture,2.0,300.0
kitchen,2.0,350.0
